2014-8-22 14:31:34,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,Vramp_Vbat,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
1,Idle_H_Vbat,tdd hb idle,mA,0,5,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
2,Idle_H_Vcc,tdd hb,mA,0,100,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
3,Idle_H_Total,tdd hb,mA,20,100,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
4,Pin_H_1880,tdd hb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
5,Pout_H_1880,tdd hb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,1
6,Gain_H_1880,tdd hb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
7,Icc_H_Vbat_1880,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
8,Icc_H_Vcc_1880,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
9,Icc_H_Total_1880,tdd hb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
10,PAE_H_Total_1880,tdd hb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
11,EUTRA_ACP_1880,tdd hb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
12,UTRA_ACP_L_H_1880,tdd hb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
13,UTRA_ALT_L_H_1880,tdd hb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
14,EVM_H_1880,tdd hb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,1880,1880,3.59181516,20.724,0
18,Pin_H_1920,tdd hb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
19,Pout_H_1920,tdd hb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
20,Gain_H_1920,tdd hb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,1
21,Icc_H_Vbat_1920,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
22,Icc_H_Vcc_1920,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
23,Icc_H_Total_1920,tdd hb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
24,PAE_H_Total_1920,tdd hb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
25,EUTRA_ACP_1920,tdd hb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
26,UTRA_ACP_L_H_1920,tdd hb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
27,UTRA_ALT_L_H_1920,tdd hb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0
28,EVM_H_1920,tdd hb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,1920,1920,3.63545191,20.799,0

