2015-2-26 14:30:55,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,Vramp_Vbat,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
43,Icc_H_Vbat_B38_2620,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
44,Icc_H_Vcc_B38_2620,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
45,Icc_H_Total_B38_2620,tdd hb,mA,100,750,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
46,PAE_H_Total_B38_2620,tdd hb,%,10,50,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
47,EUTRA_ACP_B38_2620,tdd hb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
48,UTRA_ACP_L_H_B38_2620,tdd hb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
49,UTRA_ALT_L_H_B38_2620,tdd hb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
50,EVM_H_B38_2620,tdd hb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
51,Idle_H_Vbat_B41,tdd hb idle,mA,0,5,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
52,Idle_H_Vcc_B41,tdd hb,mA,0,200,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
53,Idle_H_Total_B41,tdd hb,mA,20,200,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
54,Pin_H_B41_2496,tdd hb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
55,Pout_H_B41_2496,tdd hb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,1
56,Gain_H_B41_2496,tdd hb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
57,Icc_H_Vbat_B41_2496,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
58,Icc_H_Vcc_B41_2496,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
59,Icc_H_Total_B41_2496,tdd hb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
60,PAE_H_Total_B41_2496,tdd hb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
61,EUTRA_ACP_B41_2496,tdd hb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
62,UTRA_ACP_L_H_B41_2496,tdd hb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
63,UTRA_ALT_L_H_B41_2496,tdd hb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
64,EVM_H_B41_2496,tdd hb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,2496,2496,3.36352816,30.367,0
65,Pin_H_B41_2620,tdd hb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
66,Pout_H_B41_2620,tdd hb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,0
67,Gain_H_B41_2620,tdd hb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,2620,2620,3.36001304,30.543,1
